# t,phase,ang_deg,x,y,z,dist_to_ideal_mm,radial_err_ideal_mm,dist_to_fit_mm,radial_err_fit_mm
0.5000,0.2500,90.0000,0.3467,0.2558,1.4248,123.2066,3.2066,122.9694,0.1868
0.5020,0.2510,90.3600,0.3467,0.2550,1.4248,123.2107,3.2107,122.9715,0.1847
0.5040,0.2520,90.7200,0.3467,0.2542,1.4248,123.2135,3.2135,122.9721,0.1841
0.5060,0.2530,91.0800,0.3467,0.2535,1.4248,123.2154,3.2154,122.9720,0.1843
0.5080,0.2540,91.4400,0.3467,0.2527,1.4248,123.2169,3.2169,122.9714,0.1848
0.5100,0.2550,91.8000,0.3467,0.2519,1.4248,123.2186,3.2186,122.9711,0.1852
0.5120,0.2560,92.1600,0.3467,0.2512,1.4248,123.2209,3.2209,122.9713,0.1849
0.5140,0.2570,92.5200,0.3467,0.2504,1.4248,123.2242,3.2242,122.9725,0.1837
0.5160,0.2580,92.8800,0.3467,0.2496,1.4248,123.2262,3.2262,122.9725,0.1837
0.5180,0.2590,93.2400,0.3467,0.2488,1.4247,123.2275,3.2275,122.9718,0.1845
0.5200,0.2600,93.6000,0.3467,0.2481,1.4247,123.2286,3.2286,122.9708,0.1854
0.5220,0.2610,93.9600,0.3467,0.2473,1.4247,123.2299,3.2299,122.9702,0.1861
0.5240,0.2620,94.3200,0.3467,0.2465,1.4246,123.2319,3.2319,122.9702,0.1860
0.5260,0.2630,94.6800,0.3467,0.2458,1.4246,123.2351,3.2351,122.9714,0.1848
0.5280,0.2640,95.0400,0.3467,0.2450,1.4245,123.2371,3.2371,122.9714,0.1848
0.5300,0.2650,95.4000,0.3467,0.2442,1.4245,123.2384,3.2384,122.9708,0.1855
0.5320,0.2660,95.7600,0.3467,0.2434,1.4244,123.2396,3.2396,122.9700,0.1862
0.5340,0.2670,96.1200,0.3467,0.2427,1.4244,123.2411,3.2411,122.9696,0.1866
0.5360,0.2680,96.4800,0.3467,0.2419,1.4243,123.2434,3.2434,122.9700,0.1862
