# t,phase,ang_deg,x,y,z,dist_to_ideal_mm,radial_err_ideal_mm,dist_to_fit_mm,radial_err_fit_mm
0.5000,0.2500,90.0000,0.3483,-0.2551,1.1786,123.0661,3.0661,123.4074,0.1333
0.5020,0.2510,90.3600,0.3483,-0.2543,1.1786,123.0656,3.0656,123.4083,0.1342
0.5040,0.2520,90.7200,0.3483,-0.2536,1.1785,123.0645,3.0645,123.4085,0.1344
0.5060,0.2530,91.0800,0.3483,-0.2528,1.1786,123.0629,3.0629,123.4083,0.1342
0.5080,0.2540,91.4400,0.3483,-0.2520,1.1786,123.0611,3.0611,123.4079,0.1338
0.5100,0.2550,91.8000,0.3483,-0.2512,1.1786,123.0594,3.0594,123.4075,0.1334
0.5120,0.2560,92.1600,0.3483,-0.2505,1.1786,123.0579,3.0579,123.4073,0.1332
0.5140,0.2570,92.5200,0.3483,-0.2497,1.1786,123.0567,3.0567,123.4075,0.1334
0.5160,0.2580,92.8800,0.3483,-0.2489,1.1786,123.0550,3.0550,123.4070,0.1329
0.5180,0.2590,93.2400,0.3483,-0.2482,1.1787,123.0529,3.0529,123.4063,0.1321
0.5200,0.2600,93.6000,0.3483,-0.2474,1.1787,123.0507,3.0507,123.4053,0.1312
0.5220,0.2610,93.9600,0.3483,-0.2466,1.1788,123.0486,3.0486,123.4044,0.1303
0.5240,0.2620,94.3200,0.3483,-0.2459,1.1788,123.0467,3.0467,123.4038,0.1297
0.5260,0.2630,94.6800,0.3483,-0.2451,1.1789,123.0453,3.0453,123.4036,0.1295
0.5280,0.2640,95.0400,0.3483,-0.2443,1.1789,123.0433,3.0433,123.4029,0.1287
0.5300,0.2650,95.4000,0.3483,-0.2436,1.1790,123.0410,3.0410,123.4018,0.1277
0.5320,0.2660,95.7600,0.3483,-0.2428,1.1790,123.0386,3.0386,123.4006,0.1264
0.5340,0.2670,96.1200,0.3483,-0.2420,1.1791,123.0363,3.0363,123.3994,0.1253
0.5360,0.2680,96.4800,0.3483,-0.2413,1.1792,123.0344,3.0344,123.3986,0.1245
0.5380,0.2690,96.8400,0.3483,-0.2405,1.1793,123.0329,3.0329,123.3983,0.1242
0.5400,0.2700,97.2000,0.3483,-0.2397,1.1794,123.0309,3.0309,123.3974,0.1233
0.5420,0.2710,97.5600,0.3483,-0.2390,1.1795,123.0286,3.0286,123.3962,0.1221
0.5440,0.2720,97.9200,0.3483,-0.2382,1.1795,123.0262,3.0262,123.3949,0.1208
0.5460,0.2730,98.2800,0.3483,-0.2374,1.1796,123.0239,3.0239,123.3937,0.1196
0.5480,0.2740,98.6400,0.3483,-0.2367,1.1798,123.0220,3.0220,123.3929,0.1188
